positioning_time,quality,direction,Gps.speed,Gps.flag,Speed.speed,pulse,Speed.flag,Back,Brake+Back,COG,No fix,DR,3D,3D+DR,lat,lng,seq_no,status,satellite_num,pdop,altitude,ACC OFF,ACC ON
20190802T195709+0900,1,13,0,1,0,0,0,,,0,,,-50,,25.039877,121.521991,00021C10044620190802115311740902599,2,8,3.2,18.1,,
,,,0,,0,0,0,,,0,,,,,,,,,,,,,
20190802T204310+0900,0,13,0,1,0,0,0,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,0,,0,0,0,,,0,,,,,,,,,,,,,
20190802T204311+0900,0,13,0,1,0,0,0,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,0,,0,0,0,,,0,,,,,,,,,,,,,
20190802T204312+0900,0,13,0,1,0,0,0,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,0,,0,0,0,,,0,,,,,,,,,,,,,
20190802T204313+0900,0,13,0,1,0,0,0,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204314+0900,0,13,0,1,0,0,1,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204315+0900,0,13,0,1,0,0,1,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204316+0900,0,13,0,1,0,0,0,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,0,,0,0,0,,,0,,,,,,,,,,,,,
20190802T204317+0900,0,13,0,1,0,0,0,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,0,,0,0,0,,,0,,,,,,,,,,,,,
20190802T204318+0900,0,13,0,1,0,0,1,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204319+0900,0,13,2.8,1,0,2,1,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,2.8,,0,2,1,,,0,,,,,,,,,,,,,
20190802T204320+0900,0,13,1.4,1,0,1,1,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,1.4,,0,1,1,,,0,,,,,,,,,,,,,
20190802T204321+0900,0,13,1.4,1,0,1,1,,,0,-50,,,,25.039876,121.521991,,0,0,0,0,,
,,,1.4,,0,1,1,,,0,,,,,,,,,,,,,
20190802T204324+0900,1,79,0,1,2,0,1,,,66,,,-50,,25.040821,121.521386,,2,4,3.8,-207.8,,
,,,0,,0,0,1,,,66,,,,,,,,,,,,,
20190802T204325+0900,6,79,0,1,0,0,1,,,0,,-50,,,25.040821,121.521386,,1,0,50,-207.8,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204326+0900,6,79,0,1,0,0,1,,,0,,-50,,,25.040821,121.521386,,1,0,50,-207.8,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204327+0900,6,79,0,1,0,0,1,,,0,,-50,,,25.040821,121.521386,,1,0,50,-207.8,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204328+0900,1,79,0,1,0,0,1,,,0,,,-50,,25.040821,121.521386,,2,10,2.9,-207.8,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204329+0900,6,79,0,1,0,0,1,,,0,,-50,,,25.040821,121.521386,,1,0,50,-207.8,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204330+0900,6,79,0,1,0,0,0,,,0,,-50,,,25.040821,121.521386,,1,0,50,-207.8,,
,,,0,,0,0,0,,,0,,,,,,,,,,,,,
20190802T204331+0900,6,79,0,1,0,0,0,,,0,,-50,,,25.040821,121.521386,,1,0,50,-207.8,,
,,,0,,0,0,4,,,0,,,,,,,,,,,,,
20190802T204332+0900,6,79,0,1,0,0,4,,,0,,-50,,,25.040821,121.521386,,1,0,50,-207.8,,
,,,0,,0,0,0,,,0,,,,,,,,,,,,,
20190802T204333+0900,1,38,5.7,1,3.1,4,0,,,41,,,-50,,25.040379,121.521917,,2,8,2.3,53.5,,
,,,5.7,,4.9,4,0,,,41,,,,,,,,,,,,,
20190802T204334+0900,1,19,8.6,1,6.8,6,0,,,19,,,-50,,25.040328,121.521954,,2,8,2.8,56.2,,
,,,8.6,,8.1,6,0,,,19,,,,,,,,,,,,,
